frame,parameter,value
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,48
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4005_sweep,48
2,$4008_linear,0
2,$400C_const,1
2,$400C_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,48
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4005_sweep,48
2,$4008_linear,0
2,$400C_const,1
2,$400C_vol,0
4,$4001_sweep,0
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,9
4,$4002_period,285
4,$400B_length,8
4,$4005_sweep,0
4,$4004_duty,1
4,$4004_const,0
4,$4004_vol,4
4,$4006_period,339
4,$4008_linear,31
4,$400A_period,855
4,$400B_length,9
4,$400C_const,0
4,$400C_vol,0
4,$400E_period,11
4,$400E_mode,0
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,8
5,$4008_linear,30
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,7
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,6
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,5
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,4
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,3
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,2
11,$4008_linear,0
12,$4001_sweep,0
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,9
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
12,$4005_sweep,0
12,$4004_duty,1
12,$4004_const,0
12,$4004_vol,4
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,31
12,$4008_linear,0
12,$400C_const,0
12,$400C_vol,0
12,$400E_period,0
12,$400E_mode,0
20,$4001_sweep,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,9
20,$4005_sweep,0
20,$4004_duty,1
20,$4004_const,0
20,$4004_vol,4
20,$4006_period,339
20,$4008_linear,31
20,$400A_period,571
20,$400B_length,9
20,$400C_const,0
20,$400C_vol,0
20,$400E_period,0
20,$400E_mode,0
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,8
21,$4008_linear,30
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,7
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,6
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,5
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,4
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,3
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,2
27,$4008_linear,0
28,$4001_sweep,0
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,9
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4005_sweep,0
28,$4004_duty,1
28,$4004_const,0
28,$4004_vol,4
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
28,$4008_linear,31
28,$400A_period,509
28,$400B_length,8
28,$400C_const,0
28,$400C_vol,0
28,$400E_period,0
28,$400E_mode,0
29,$4008_linear,30
36,$4001_sweep,0
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,9
36,$4005_sweep,0
36,$4004_duty,1
36,$4004_const,0
36,$4004_vol,4
36,$4006_period,321
36,$400C_const,0
36,$400C_vol,0
36,$400E_period,8
36,$400E_mode,0
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,8
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,7
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,6
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,5
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,4
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,3
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,2
43,$4008_linear,0
44,$4001_sweep,0
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,9
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,0
44,$4005_sweep,0
44,$4004_duty,1
44,$4004_const,0
44,$4004_vol,4
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,0
44,$4008_linear,31
44,$400A_period,571
44,$400B_length,9
44,$400C_const,0
44,$400C_vol,0
44,$400E_period,0
44,$400E_mode,0
45,$4008_linear,30
51,$4008_linear,0
52,$4001_sweep,0
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,9
52,$4005_sweep,0
52,$4004_duty,1
52,$4004_const,0
52,$4004_vol,4
52,$4006_period,321
52,$4008_linear,31
52,$400A_period,509
52,$400B_length,8
52,$400C_const,0
52,$400C_vol,0
52,$400E_period,0
52,$400E_mode,0
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,8
53,$4008_linear,30
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,7
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,6
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,5
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,4
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,3
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,2
59,$4008_linear,0
60,$4001_sweep,0
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,9
60,$4005_sweep,0
60,$4004_duty,1
60,$4004_const,0
60,$4004_vol,4
60,$4006_period,339
60,$4008_linear,31
60,$400A_period,571
60,$400B_length,9
60,$400C_const,0
60,$400C_vol,0
60,$400E_period,0
60,$400E_mode,0
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,8
61,$4008_linear,30
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,7
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,6
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,5
65,$4000_duty,2
65,$4000_const,1
