frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,0
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,15
0,$4001_sweep,0
0,$4002_period,359
0,$400B_length,8
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$4004_duty,3
0,$4004_const,1
0,$4004_vol,0
0,$4008_linear,32
0,$400C_const,1
0,$400C_vol,1
0,$400C_const,1
0,$400C_vol,8
0,$400E_period,1
0,$400E_mode,0
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,15
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,15
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,0
1,$4004_duty,3
1,$4004_const,1
1,$4004_vol,0
1,$4008_linear,32
1,$400C_const,1
1,$400C_vol,8
1,$400C_const,1
1,$400C_vol,8
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,15
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,14
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,0
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,32
2,$400C_const,1
2,$400C_vol,8
2,$400C_const,1
2,$400C_vol,3
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,14
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,14
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,0
3,$4004_duty,3
3,$4004_const,1
3,$4004_vol,0
3,$4008_linear,32
3,$400C_const,1
3,$400C_vol,3
3,$400C_const,1
3,$400C_vol,1
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,14
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,13
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,0
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,0
4,$4008_linear,32
4,$400C_const,1
4,$400C_vol,1
4,$400C_const,1
4,$400C_vol,1
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,13
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,13
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
5,$4008_linear,32
5,$400C_const,1
5,$400C_vol,1
5,$400C_const,1
5,$400C_vol,1
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,13
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,12
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,0
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,0
6,$4008_linear,32
6,$400C_const,1
6,$400C_vol,1
6,$400C_const,1
6,$400C_vol,1
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,12
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,12
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,0
7,$4008_linear,32
7,$400C_const,1
7,$400C_vol,1
7,$400C_const,1
7,$400C_vol,1
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,12
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,11
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,0
8,$4008_linear,32
8,$400C_const,1
8,$400C_vol,1
8,$400C_const,1
8,$400C_vol,1
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,11
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,11
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,0
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,0
9,$4008_linear,32
9,$400C_const,1
9,$400C_vol,1
9,$400C_const,1
9,$400C_vol,1
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,11
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,0
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,0
10,$4008_linear,32
10,$400C_const,1
10,$400C_vol,1
10,$400C_const,1
10,$400C_vol,1
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,10
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,10
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,0
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,0
11,$4008_linear,32
11,$400C_const,1
11,$400C_vol,1
11,$400C_const,1
11,$400C_vol,1
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,10
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,9
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,0
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,0
12,$4008_linear,32
12,$400C_const,1
12,$400C_vol,1
12,$400C_const,1
12,$400C_vol,1
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,9
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,15
13,$4001_sweep,0
13,$4002_period,339
13,$400B_length,8
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,0
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,0
13,$4008_linear,32
13,$400A_period,1141
13,$400B_length,10
13,$400C_const,1
13,$400C_vol,1
13,$400C_const,1
13,$400C_vol,8
13,$400E_period,8
13,$400E_mode,0
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,15
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,15
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,0
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,0
14,$4008_linear,32
14,$400C_const,1
14,$400C_vol,8
14,$400C_const,1
14,$400C_vol,8
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,15
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,14
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,0
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,0
15,$4008_linear,32
15,$400C_const,1
15,$400C_vol,8
15,$400C_const,1
15,$400C_vol,3
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,14
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,14
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,0
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,0
16,$4008_linear,32
16,$400C_const,1
16,$400C_vol,3
16,$400C_const,1
16,$400C_vol,1
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,14
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,13
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,0
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,0
17,$4008_linear,32
17,$400C_const,1
17,$400C_vol,1
17,$400C_const,1
17,$400C_vol,1
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,13
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,13
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,0
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,0
18,$4008_linear,32
18,$400C_const,1
18,$400C_vol,1
18,$400C_const,1
18,$400C_vol,1
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,13
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,12
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,0
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,0
19,$4008_linear,32
19,$400C_const,1
19,$400C_vol,1
19,$400C_const,1
19,$400C_vol,1
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,12
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,12
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,0
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,0
20,$4008_linear,32
20,$400C_const,1
20,$400C_vol,1
20,$400C_const,1
20,$400C_vol,1
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,12
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,11
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,0
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,0
21,$4008_linear,32
21,$400C_const,1
21,$400C_vol,1
21,$400C_const,1
21,$400C_vol,1
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,11
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,11
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,0
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,0
22,$4008_linear,32
22,$400C_const,1
22,$400C_vol,1
22,$400C_const,1
22,$400C_vol,1
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,11
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,10
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,0
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,0
23,$4008_linear,32
23,$400C_const,1
23,$400C_vol,1
23,$400C_const,1
23,$400C_vol,1
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,10
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,10
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,0
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,0
24,$4008_linear,32
24,$400C_const,1
24,$400C_vol,1
24,$400C_const,1
24,$400C_vol,1
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,10
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,15
25,$4001_sweep,0
25,$4002_period,321
25,$400B_length,8
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,0
25,$4004_duty,3
25,$4004_const,1
25,$4004_vol,0
25,$4008_linear,32
25,$400C_const,1
25,$400C_vol,1
25,$400C_const,1
25,$400C_vol,8
25,$400E_period,1
25,$400E_mode,0
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,15
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,15
26,$4004_duty,3
26,$4004_const,1
26,$4004_vol,0
26,$4004_duty,3
26,$4004_const,1
26,$4004_vol,0
26,$4008_linear,32
26,$400C_const,1
26,$400C_vol,8
26,$400C_const,1
26,$400C_vol,8
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,15
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,14
27,$4004_duty,3
27,$4004_const,1
27,$4004_vol,0
27,$4004_duty,3
27,$4004_const,1
27,$4004_vol,0
27,$4008_linear,32
27,$400C_const,1
27,$400C_vol,8
27,$400C_const,1
27,$400C_vol,3
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,14
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,14
28,$4004_duty,3
28,$4004_const,1
28,$4004_vol,0
28,$4004_duty,3
28,$4004_const,1
28,$4004_vol,0
28,$4008_linear,32
28,$400C_const,1
28,$400C_vol,3
28,$400C_const,1
28,$400C_vol,1
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,14
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,13
29,$4004_duty,3
29,$4004_const,1
29,$4004_vol,0
29,$4004_duty,3
29,$4004_const,1
29,$4004_vol,0
29,$4008_linear,32
29,$400C_const,1
29,$400C_vol,1
29,$400C_const,1
29,$400C_vol,1
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,13
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,13
30,$4004_duty,3
30,$4004_const,1
30,$4004_vol,0
30,$4004_duty,3
30,$4004_const,1
30,$4004_vol,0
30,$4008_linear,32
30,$400C_const,1
30,$400C_vol,1
30,$400C_const,1
30,$400C_vol,1
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,13
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,12
31,$4004_duty,3
31,$4004_const,1
31,$4004_vol,0
31,$4004_duty,3
31,$4004_const,1
31,$4004_vol,0
31,$4008_linear,32
31,$400C_const,1
31,$400C_vol,1
31,$400C_const,1
31,$400C_vol,1
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,12
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,12
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,0
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,0
32,$4008_linear,32
32,$400C_const,1
32,$400C_vol,1
32,$400C_const,1
32,$400C_vol,1
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,12
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,11
33,$4004_duty,3
33,$4004_const,1
33,$4004_vol,0
33,$4004_duty,3
33,$4004_const,1
33,$4004_vol,0
33,$4008_linear,32
33,$400C_const,1
33,$400C_vol,1
33,$400C_const,1
33,$400C_vol,1
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,11
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,11
34,$4004_duty,3
34,$4004_const,1
34,$4004_vol,0
34,$4004_duty,3
34,$4004_const,1
34,$4004_vol,0
34,$4008_linear,32
34,$400C_const,1
34,$400C_vol,1
34,$400C_const,1
34,$400C_vol,1
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,11
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,10
35,$4004_duty,3
35,$4004_const,1
35,$4004_vol,0
35,$4004_duty,3
35,$4004_const,1
35,$4004_vol,0
35,$4008_linear,32
35,$400C_const,1
35,$400C_vol,1
35,$400C_const,1
35,$400C_vol,1
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,10
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,10
36,$4004_duty,3
36,$4004_const,1
36,$4004_vol,0
36,$4004_duty,3
36,$4004_const,1
36,$4004_vol,0
36,$4008_linear,32
36,$400C_const,1
36,$400C_vol,1
36,$400C_const,1
36,$400C_vol,1
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,10
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,15
37,$4001_sweep,0
37,$4002_period,285
37,$400B_length,8
37,$4004_duty,3
37,$4004_const,1
37,$4004_vol,0
37,$4008_linear,32
37,$400A_period,855
37,$400B_length,9
37,$400C_const,1
37,$400C_vol,1
37,$400C_const,1
37,$400C_vol,8
37,$400E_period,13
37,$400E_mode,0
