frame,parameter,value
0,$400C_const,1
0,$400C_vol,4
0,$4008_linear,52
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,6
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,12
1,$400C_const,1
1,$400C_vol,2
1,$4008_linear,50
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,2
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,11
2,$400E_period,9
2,$400E_mode,0
2,$400C_const,1
2,$400C_vol,15
2,$400A_period,513
2,$400B_length,1
2,$4008_linear,63
2,$4006_period,1
2,$4005_sweep,130
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,10
2,$4002_period,513
2,$400B_length,1
2,$4001_sweep,8
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,12
3,$400C_const,1
3,$400C_vol,12
3,$4008_linear,60
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,8
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,15
4,$400C_const,1
4,$400C_vol,9
4,$4008_linear,57
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,7
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,15
5,$400C_const,1
5,$400C_vol,7
5,$4008_linear,55
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,6
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,13
6,$400C_const,1
6,$400C_vol,4
6,$4008_linear,52
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,5
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,12
7,$400C_const,1
7,$400C_vol,2
7,$4008_linear,50
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,1
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,11
8,$400E_period,9
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,15
8,$400A_period,1023
8,$400B_length,1
8,$4008_linear,63
8,$4006_period,127
8,$4005_sweep,130
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,10
